COG	metadata	polarity
COG0553	sqrt_iron	positive
COG3784	sqrt_iron	positive
COG4569	sqrt_iron	positive
COG0214	Mean_Oxygen	negative
COG3567	log_PO4	positive
COG0614	Mean_Oxygen	positive
COG1240	log_NO2NO3	negative
COG0113	sqrt_iron	negative
COG3000	Mean_Oxygen	positive
COG1127	Mean_Oxygen	positive
COG2151	log_NO2NO3	positive
COG0054	Mean_Oxygen	positive
COG1026	Mean_Oxygen	positive
COG2353	Mean_Oxygen	positive
COG5274	log_NO2NO3	positive
COG0648	Mean_Oxygen	negative
COG3889	Mean_Oxygen	negative
COG5491	log_NO2NO3	positive
COG0299	Mean_Oxygen	positive
COG0031	sqrt_iron	negative
COG2214	log_NO2NO3	negative
COG1325	Mean_Oxygen	negative
COG0819	sqrt_iron	negative
