"","mean","median","HPD_lower","HPD_upper","effective_size","start_iteration","stationarity_test","stationarity_pval","staionarity_test_adjusted","adj_stationarity_pval","Halfwidth_test","halfwidth"
"Node858.P.B.",0.123188928,0.1224745,0.094224,0.1532,781.417760673389,1,"passed",0.556939632721047,"passed",0.912707011337192,"passed",0.00106209566052079
"Node858.P.C.",0.872993155,0.873121,0.84499,0.904554,909.250585852005,1,"passed",0.939285793964124,"passed",0.966426422138019,"passed",0.000980206758395479
"Node859.P.A.",0.031321805,0.0139525,0.0046,0.083185,164.364612232277,1,"passed",0.207851914338138,"passed",0.460231351493836,"failed",0.00436337098512263
"Node859.P.B.",0.372562137,0.3638085,0.274893,0.514219,999.999999999999,1,"passed",0.826630702581215,"passed",0.913311199957235,"passed",0.00382681648268086
"Node859.P.C.",0.59611606,0.6097645,0.444004,0.733855,614.841117334149,1,"passed",0.468535079649561,"passed",0.83277159435894,"passed",0.00610123577543603
"Node860.P.A.",0.009611339,0.004041,0.001147,0.027531,182.267587093734,1,"passed",0.187845939144444,"passed",0.453961691487008,"failed",0.00140949984008463
"Node860.P.B.",0.251407188,0.243895,0.162867,0.361664,1000,1,"passed",0.798256045635697,"passed",0.912981687754976,"passed",0.00321492272997669
"Node860.P.C.",0.738981483,0.746932,0.62796,0.839665,1000,1,"passed",0.53937863967921,"passed",0.897828626376954,"passed",0.00351740240789446
"Node861.P.A.",0.002672749,0.0010825,0.000325,0.008202,210.081168369132,1,"passed",0.167118956943982,"passed",0.453961691487008,"failed",0.000403812716801639
"Node861.P.B.",0.144381601,0.1389915,0.075449,0.221712,999.999999999998,1,"passed",0.750735531764027,"passed",0.912981687754976,"passed",0.00239863304450138
"Node861.P.C.",0.852945664,0.8588075,0.77444,0.925102,1000,1,"passed",0.823481471852736,"passed",0.912981687754976,"passed",0.00246655322865699
"Node862.P.A.",0.008926421,0.005333,0.002432,0.021517,127.020438735815,1,"passed",0.18682248040339,"passed",0.453961691487008,"failed",0.00113463690981529
"Node862.P.B.",0.183149773,0.1810495,0.132649,0.239447,827.741675346455,1,"passed",0.489043861854102,"passed",0.853898301232351,"passed",0.0019050105630483
"Node862.P.C.",0.807923799,0.810249,0.750861,0.860766,1000,1,"passed",0.860627645950619,"passed",0.919594122861929,"passed",0.00178833617986755
"Node863.P.A.",0.001268143,0.000486,0.000134,0.003785,144.714254325108,1,"passed",0.212226327571705,"passed",0.465385025614727,"failed",0.000214050786369638
"Node863.P.B.",0.211171422,0.205359,0.130807,0.312946,1000,1,"passed",0.511869386571897,"passed",0.87725257471021,"passed",0.00303762207916992
"Node863.P.C.",0.787560429,0.7938015,0.683188,0.868149,1000,1,"passed",0.570611824360069,"passed",0.912981687754976,"passed",0.00305636517561143
"Node864.P.A.",0.012987627,0.0050165,0.001617,0.034565,131.75837192888,1,"passed",0.215857485286572,"passed",0.468520983303227,"failed",0.0020403761701028
"Node864.P.B.",0.595163498,0.5910495,0.498718,0.72037,999.999999999999,1,"passed",0.273287886398375,"passed",0.562160323976946,"passed",0.00348018062929015
"Node864.P.C.",0.391848869,0.395444,0.27636,0.497684,999.999999999998,1,"passed",0.731647221561905,"passed",0.912981687754976,"passed",0.00358022698667718
"Node865.P.A.",0.048751162,0.0295165,0.012496,0.100888,139.223907018457,1,"passed",0.178802879028425,"passed",0.453961691487008,"failed",0.00530243556579445
"Node865.P.B.",0.716097126,0.7149075,0.659029,0.779029,273.032839803954,1,"passed",0.0780688891339237,"passed",0.453961691487008,"passed",0.00377340159716567
"Node865.P.C.",0.235151719,0.236275,0.182764,0.283879,620.416608483382,1,"passed",0.540712810927513,"passed",0.899173959216443,"passed",0.0020839247790968
"Node866.P.A.",0.010343127,0.004771,0.001598,0.025933,131.063822908567,1,"passed",0.20584070589183,"passed",0.459069200190411,"failed",0.00147886428982843
"Node866.P.B.",0.360363421,0.3575715,0.295063,0.431754,999.999999999999,1,"passed",0.321707630392551,"passed",0.632375685255034,"passed",0.00220096213601146
"Node866.P.C.",0.62929344,0.632279,0.55375,0.700439,1000,1,"passed",0.814025739307509,"passed",0.912981687754976,"passed",0.00227564801891625
"Node867.P.A.",0.053150995,0.0327545,0.013597,0.108535,139.505916685635,1,"passed",0.179795891744483,"passed",0.453961691487008,"failed",0.00566862529593433
"Node867.P.B.",0.682936843,0.6818305,0.620492,0.744752,291.689176566229,1,"passed",0.0771608842222903,"passed",0.453961691487008,"passed",0.00376562337680251
"Node867.P.C.",0.263912154,0.26523,0.208009,0.318212,546.406470676672,1,"passed",0.573201745263423,"passed",0.912981687754976,"passed",0.00242359284494527
"Node868.P.A.",0.002209533,0.0013205,0.000485,0.005269,140.837349216365,1,"passed",0.18042685276198,"passed",0.453961691487008,"failed",0.000263863296673553
"Node868.P.B.",0.099051651,0.098439,0.07419,0.124863,793.796028827919,1,"passed",0.593054501583038,"passed",0.912981687754976,"passed",0.00090535747861305
